11,6,26,6,52,11,19,12,15,11,37,6,51,4,41,15,23,11,1,16,14,13,45,19,48,18,53,14,50,9,45,4,54,21,12,12,28,15,5,10,38,25,29,26,7,2,7,11,7,19,19,6,39,2,46,2,39,12,19,1,20,14,13,6,17,26,47,24,27,8,5,26,22,1,19,7,19,17,48,22,7,22,41,19,1,8,50,7,33,16,18,2,51,16,48,6,38,18,28,13,41,16,48,17,7,18,42,4,39,16,21,1,41,20,25,2,49,21,44,18,50,23,44,22,15,2,22,4,44,4,49,7,39,17,16,12,5,23,37,8,13,25,23,20,32,15,39,15,27,16,40,5,5,4,39,6,41,22,11,25,8,24,3,6,41,14,42,10,42,14,50,12,50,3,51,24,49,17,20,19,23,3,11,2,27,7,1,13,23,8,38,22,54,7,21,17,22,15,9,5,13,13,46,15,34,16,43,25,2,22,15,24,9,11,39,23,18,8,4,4,43,19,54,24,22,21,6,4,19,25,21,12,10,20,26,1,41,9,37,15,43,11,11,17,32,10,11,4,5,24,7,5,18,13,35,14,32,16,13,12,50,17,45,6,51,3,14,9,1,9,26,17,34,9,5,15,18,5,42,21
30,9,18,10,19,18,3,20,3,15,13,22,33,26,32,4,49,10,32,26,42,1,49,13,5,7,29,17,29,6,43,17,9,26,53,7,29,19,24,19,47,20,23,21,42,16,11,9,33,23,19,10,15,6,53,6,5,16,11,15,25,18,48,14,40,24,40,13,54,23,35,8,22,19,41,26,15,15,40,15,48,26,3,7,41,24,40,20,8,11,54,19,35,17,12,8,26,16,8,16,20,18,14,5,49,18,39,14,23,17,33,21,44,13,1,3,52,10,12,18,19,16,46,12,24,12,1,14,52,20,2,2,24,24,47,18,19,3,51,26,36,16,40,8,21,18,34,6,13,21,7,20,11,11,4,22,34,14,44,6,42,3,35,4,49,25,8,4,12,5,41,18,37,25,4,2,50,1,10,1,12,19,17,5,11,13,15,22,44,16,9,19,42,20,5,22,27,22,14,1,46,14,37,10,43,21,23,10,35,24,16,22,12,1,20,26,47,21,53,22,20,8,11,21,27,5,47,14,28,24,49,24,33,18,54,13,50,10,40,18,4,1,53,17,36,20,4,3,22,14,11,24,35,5,21,2,36,2,31,14,42,6,24,16,8,20,12,16,6,21,17,19,42,17,14,20,31,19,52,3
35,10,2,21,29,5,48,15,13,15,15,9,50,8,11,18,8,14,35,16,19,2,23,15,22,20,48,8,1,7,16,21,18,4,34,3,39,21,26,22,36,12,8,22,46,17,10,19,30,24,45,14,26,19,44,19,8,23,20,16,44,26,24,6,12,2,45,1,54,8,49,22,40,25,38,21,1,21,28,5,14,4,17,24,8,9,43,14,31,26,38,15,27,9,18,22,44,17,54,17,15,23,37,13,35,19,6,8,21,21,17,21,4,24,37,12,43,3,14,2,7,3,18,11,17,1,5,2,53,12,13,2,17,13,23,13,2,13,46,7,29,14,43,12,34,22,49,26,25,1,26,25,28,6,1,5,54,2,9,4,15,26,23,5,22,10,33,5,49,16,8,18,27,2,16,6,26,10,25,10,25,21,4,15,17,8,34,18,24,1,5,12,15,14,18,9,44,3,15,8,45,22,51,19,18,12,1,11,51,21,21,9,52,26,42,12,26,24,48,1,35,18,29,24,38,7,34,1,31,4,6,15,36,9,18,16,2,5,46,3,43,26,24,26,26,3,32,9,48,4,46,6,45,18,50,13,33,14,48,21,29,9,19,23,44,25,31,17,6,13,15,20,13,8,42,8,20,1,48,25
47,26,50,25,34,2,4,13,18,17,45,17,36,15,49,23,25,14,6,9,28,16,42,5,35,3,41,12,37,22,50,16,37,11,46,20,7,9,48,3,46,11,19,24,49,11,36,26,24,7,40,11,19,22,51,8,30,16,9,7,47,6,29,25,10,26,27,15,1,15,22,22,35,13,37,7,51,25,54,3,30,12,2,16,40,26,33,3,21,5,32,7,17,17,9,18,14,12,32,12,27,14,32,13,47,15,38,12,30,6,46,13,3,4,43,6,15,17,24,4,19,14,24,2,20,20,37,26,31,12,18,25,14,10,25,26,38,8,51,20,35,25,1,19,32,1,35,20,32,8,17,15,2,3,26,14,31,15,11,19,52,7,1,26,24,14,48,11,21,23,46,8,4,12,6,16,26,12,19,8,15,7,25,5,37,14,43,10,2,7,23,14,3,14,7,25,17,11,26,21,31,3,21,25,38,23,52,16,5,18,12,17,18,19,23,18,34,21,7,10,46,23,32,3,7,15,53,2,49,8,45,15,30,13,38,20,18,3,4,11,11,20,38,13,40,1,2,26,43,18,28,17,2,14,33,10,30,19,13,7,32,2,45,20,53,26,52,8,25,3,47,1,53,18,48,9,24,10,50,19
23,2,49,14,49,4,53,21,53,13,46,26,52,17,25,25,23,22,38,3,5,21,2,4,10,24,27,26,3,22,33,25,2,17,16,7,23,19,37,20,53,15,50,11,24,13,8,26,25,4,10,14,50,2,8,1,18,14,21,8,46,4,19,15,47,4,20,11,44,12,23,24,7,14,17,2,2,15,13,23,8,13,40,16,10,16,9,23,52,5,33,15,44,9,31,20,23,9,6,18,24,8,1,6,5,8,40,22,3,26,42,24,21,7,30,8,43,8,41,13,7,23,29,22,36,23,32,23,18,24,28,11,18,7,31,13,1,24,4,8,38,11,14,6,46,22,16,10,48,2,10,6,40,17,50,6,36,7,39,7,51,6,28,21,46,24,28,4,36,14,3,18,7,16,2,25,16,11,52,4,10,12,36,6,37,19,6,12,45,21,36,8,22,26,27,11,21,10,42,19,17,22,11,16,31,10,29,21,25,13,49,15,32,20,23,12,33,2,10,21,19,19,12,15,23,4,6,1,24,18,24,20,23,25,41,17,53,8,35,11,48,7,47,22,46,9,30,20,13,4,20,17,40,23,51,9,23,7,14,24,21,15,24,22,3,10,26,7,20,21,6,23,13,18,30,15,49,1,3,3
54,22,17,14,30,22,21,11,8,3,5,19,29,4,15,21,35,26,53,3,53,9,8,7,25,19,33,17,6,24,3,13,4,18,46,10,39,1,35,23,8,10,21,13,19,9,14,15,9,13,12,4,7,13,28,18,2,20,38,2,48,16,51,13,10,17,31,16,8,17,30,14,51,22,49,19,8,6,20,10,9,3,35,1,19,13,34,20,48,23,50,18,12,6,41,6,44,8,43,16,27,4,14,17,10,23,47,17,39,10,47,19,35,12,41,25,40,21,43,1,32,25,50,26,49,9,41,5,16,8,26,20,46,1,11,10,42,25,18,26,43,5,24,9,31,21,25,12,40,6,21,16,28,3,44,21,39,9,22,18,49,6,10,3,7,1,17,6,33,13,42,9,5,11,5,9,32,24,13,14,12,13,29,20,44,2,53,19,9,8,41,7,21,24,24,21,52,24,21,4,17,9,39,4,14,14,39,13,22,12,6,11,52,21,10,4,29,16,14,3,6,14,17,18,24,11,42,7,25,22,39,3,5,6,18,23,28,10,51,23,8,5,40,2,19,5,40,19,7,17,33,12,11,22,20,3,39,19,39,26,51,18,41,2,3,8,16,4,22,2,3,25,2,8,29,13,22,16,51,14
27,21,40,12,28,8,45,23,10,10,10,15,53,1,53,25,34,11,54,11,45,13,54,12,46,16,1,18,26,2,47,13,37,24,14,25,12,20,14,22,12,22,53,4,23,23,12,10,54,1,28,19,6,26,31,22,37,17,10,13,32,5,4,26,23,6,44,10,34,4,16,25,52,9,9,14,46,21,40,4,36,19,52,15,3,11,14,19,4,5,39,5,36,17,43,2,54,18,2,19,22,6,6,10,45,7,47,7,19,26,31,24,48,5,3,5,37,21,16,13,38,10,29,11,54,4,50,4,53,20,30,17,45,24,22,24,47,9,18,1,45,16,16,14,53,11,15,12,16,9,41,23,4,9,10,11,8,21,30,23,13,24,18,18,18,21,16,18,27,18,37,3,34,23,44,7,38,26,52,2,43,7,17,3,3,17,33,8,34,5,10,5,21,19,5,14,26,23,31,2,2,6,30,26,21,6,36,5,8,25,38,14,51,11,9,25,50,14,20,15,45,8,35,2,45,2,40,9,45,9,33,24,22,23,5,5,40,3,21,14,28,25,13,11,45,11,9,15,50,5,43,13,22,5,4,7,20,5,1,1,47,8,11,8,16,23,21,26,51,7,24,3,54,15,4,25,6,2,32,14
3,21,2,18,53,23,37,9,8,12,11,5,5,17,27,23,48,20,34,17,31,7,15,25,34,13,28,9,6,25,33,7,37,4,16,20,4,21,14,18,15,1,50,15,26,26,20,13,22,17,21,20,28,22,44,14,24,23,34,12,9,16,1,25,36,25,12,3,52,19,45,5,54,10,31,11,6,7,8,2,6,22,6,17,8,15,46,5,18,15,51,1,49,20,25,11,1,2,3,12,16,3,13,3,36,1,5,3,36,10,35,7,9,12,29,7,1,17,34,24,30,7,36,24,2,23,35,22,17,4,50,22,33,19,9,2,18,20,5,25,15,18,2,10,31,23,20,12,12,21,17,25,41,21,52,13,7,8,17,12,20,22,45,3,31,6,22,11,40,14,52,12,14,23,33,22,27,10,16,1,24,5,20,23,32,19,34,19,22,7,53,24,38,5,3,16,25,17,7,21,23,1,10,25,7,7,50,21,12,26,10,22,10,2,34,15,10,7,24,25,44,5,11,7,39,8,6,6,41,1,1,12,21,3,15,5,29,2,4,10,1,4,6,19,36,21,33,9,44,15,20,9,15,3,20,24,42,2,12,11,29,8,16,24,44,23,38,1,19,11,14,26,9,10,9,6,35,21,7,24
26,4,28,14,26,15,52,18,39,24,54,16,29,15,48,12,10,8,33,4,49,3,12,23,52,23,13,1,5,20,12,24,39,11,9,21,40,7,15,19,33,20,39,22,27,13,13,5,51,10,24,15,14,16,29,3,26,9,6,3,22,13,13,19,16,5,27,12,25,6,52,25,43,4,3,24,17,7,11,26,42,13,23,26,46,25,7,4,31,8,17,16,36,3,11,14,45,25,13,10,32,11,16,19,32,21,2,12,42,26,41,10,32,6,9,24,30,1,37,23,38,19,29,10,22,25,36,22,50,24,24,17,32,18,47,11,1,10,22,3,17,20,20,2,28,23,11,3,31,25,16,16,43,22,36,18,39,25,36,4,22,8,44,1,38,6,9,17,1,20,35,6,31,1,47,25,51,17,11,12,43,20,31,5,48,10,17,10,25,23,28,7,9,9,8,8,10,9,27,17,17,23,27,3,52,1,34,8,4,19,1,22,54,26,28,2,20,4,52,14,51,2,52,6,15,13,2,11,19,4,26,18,36,13,5,13,34,26,25,20,30,5,26,5,42,23,53,10,42,18,7,26,4,16,20,25,22,9,30,18,51,15,3,23,34,25,4,17,27,19,38,9,13,20,37,5,30,3,6,20
2,24,5,1,46,18,32,17,16,26,47,5,31,18,25,15,4,20,12,25,14,11,25,7,33,11,26,13,13,16,29,1,13,9,33,6,45,26,31,9,32,22,6,5,14,21,9,22,8,19,27,20,53,16,43,23,37,18,23,16,27,24,35,9,35,15,27,6,29,23,51,12,44,11,16,2,48,19,40,10,34,7,27,1,13,26,41,8,3,2,47,10,26,8,9,1,19,20,43,9,46,19,26,11,37,16,14,7,29,18,42,22,30,25,36,11,28,20,16,15,47,16,30,21,41,3,3,9,9,20,3,1,27,25,38,4,11,1,47,3,45,10,38,24,51,5,37,1,15,16,48,24,30,2,48,13,49,5,47,23,44,20,33,1,12,7,30,11,43,24,45,12,30,4,28,12,53,5,37,2,25,16,2,9,2,1,3,19,39,18,20,7,15,10,52,22,28,26,49,12,25,24,25,8,28,1,7,12,13,17,29,12,42,15,10,18,42,11,41,11,54,9,41,4,47,2,38,16,54,20,50,20,44,24,54,6,11,23,34,10,25,9,20,6,12,9,43,15,12,14,4,23,1,23,7,6,18,6,4,14,39,20,14,8,19,21,21,22,54,5,15,4,47,12,4,6,54,25,16,17,54,14,30,10,49,2,38,17
